CID	Pack_Number	Part_Number	AppricableCID	Keyword	CVN	Country Spec	Vehicle	Year	Engine	Aspiration	Transmission	Specification
---	27596AN00D	27596AN00B	---	019B84E3	---	N.AMERICA	Legacy	2022	2.4L	Turbo	CVT	FED  CAL
---	27596AN00D	27596AN00C	---	019B84E3	---	N.AMERICA	Legacy	2022	2.4L	Turbo	CVT	FED  CAL
---	27596AN00D	27596AN00A	---	019B84E3	---	N.AMERICA	Legacy	2022	2.5L	non-Turbo	CVT	FED  CAL
---	27596AN00D	27596AN00B	---	019B84E3	---	N.AMERICA	Legacy	2022	2.5L	non-Turbo	CVT	FED  CAL
---	27596AN00D	27596AN00C	---	019B84E3	---	N.AMERICA	Legacy	2022	2.5L	non-Turbo	CVT	FED  CAL
---	27596AN00D	27596AN00A	---	019B84E3	---	N.AMERICA	Outback	2022	2.4L	Turbo	CVT	FED  CAL
---	27596AN00D	27596AN00B	---	019B84E3	---	N.AMERICA	Outback	2022	2.4L	Turbo	CVT	FED  CAL
---	27596AN00D	27596AN00C	---	019B84E3	---	N.AMERICA	Outback	2022	2.4L	Turbo	CVT	FED  CAL
---	27596AN00D	27596AN00A	---	019B84E3	---	N.AMERICA	Outback	2022	2.5L	non-Turbo	CVT	FED  CAL
---	27596AN00D	27596AN00B	---	019B84E3	---	N.AMERICA	Outback	2022	2.5L	non-Turbo	CVT	FED  CAL
---	27596AN00D	27596AN00C	---	019B84E3	---	N.AMERICA	Outback	2022	2.5L	non-Turbo	CVT	FED  CAL
---	27596AN01C	27596AN01A	---	16D710CC	---	N.AMERICA	Outback	2022	2.4L	Turbo	CVT	FED  CAL
---	27596AN01C	27596AN01B	---	16D710CC	---	N.AMERICA	Outback	2022	2.4L	Turbo	CVT	FED  CAL
---	98401SJ011	98401SJ010	---	CBD008D3	---	N.AMERICA	Forester	2019	2.5L	non-Turbo	CVT	FED  CAL
---	98401AN00Ato00B-1	98401AN00A	---	B80240B9	---	N.AMERICA	Legacy	2020	2.4L	Turbo	CVT	FED  CAL
---	98401AN00Ato00B-2	98401AN00A	---	E33027FA	---	N.AMERICA	Legacy	2020	2.4L	Turbo	CVT	FED  CAL
---	98401AN00Ato00B-1	98401AN00A	---	B80240B9	---	N.AMERICA	Legacy	2020	2.5L	non-Turbo	CVT	FED  CAL
---	98401AN00Ato00B-2	98401AN00A	---	E33027FA	---	N.AMERICA	Legacy	2020	2.5L	non-Turbo	CVT	FED  CAL
---	98401AN00Ato00B-1	98401AN00A	---	B80240B9	---	N.AMERICA	Outback	2020	2.4L	Turbo	CVT	FED  CAL
---	98401AN00Ato00B-2	98401AN00A	---	E33027FA	---	N.AMERICA	Outback	2020	2.4L	Turbo	CVT	FED  CAL
---	98401AN00Ato00B-1	98401AN00A	---	B80240B9	---	N.AMERICA	Outback	2020	2.5L	non-Turbo	CVT	FED  CAL
---	98401AN00Ato00B-2	98401AN00A	---	E33027FA	---	N.AMERICA	Outback	2020	2.5L	non-Turbo	CVT	FED  CAL
---	98401SJ010to013-1	98401SJ010	---	038BA84E	---	N.AMERICA	Forester	2019	2.5L	non-Turbo	CVT	FED  CAL
---	98401SJ010to013-1	98401SJ010	---	038BA84E	---	N.AMERICA	Forester	2020	2.5L	non-Turbo	CVT	FED  CAL
---	98401SJ010to013-2	98401SJ010	---	A65F57D4	---	N.AMERICA	Forester	2019	2.5L	non-Turbo	CVT	FED  CAL
---	98401SJ010to013-2	98401SJ010	---	A65F57D4	---	N.AMERICA	Forester	2020	2.5L	non-Turbo	CVT	FED  CAL
---	98401SJ011to013-1	98401SJ010	---	CFBB4ECE	---	N.AMERICA	Forester	2019	2.5L	non-Turbo	CVT	FED  CAL
---	98401SJ011to013-1	98401SJ011	---	CFBB4ECE	---	N.AMERICA	Forester	2019	2.5L	non-Turbo	CVT	FED  CAL
---	98401SJ011to013-1	98401SJ010	---	CFBB4ECE	---	N.AMERICA	Forester	2020	2.5L	non-Turbo	CVT	FED  CAL
---	98401SJ011to013-1	98401SJ011	---	CFBB4ECE	---	N.AMERICA	Forester	2020	2.5L	non-Turbo	CVT	FED  CAL
---	98401SJ011to013-2	98401SJ010	---	A65F57D4	---	N.AMERICA	Forester	2019	2.5L	non-Turbo	CVT	FED  CAL
---	98401SJ011to013-2	98401SJ011	---	A65F57D4	---	N.AMERICA	Forester	2019	2.5L	non-Turbo	CVT	FED  CAL
---	98401SJ011to013-2	98401SJ010	---	A65F57D4	---	N.AMERICA	Forester	2020	2.5L	non-Turbo	CVT	FED  CAL
---	98401SJ011to013-2	98401SJ011	---	A65F57D4	---	N.AMERICA	Forester	2020	2.5L	non-Turbo	CVT	FED  CAL
---	98401SJ012to013-1	98401SJ012	---	EA1EDD4A	---	N.AMERICA	Forester	2019	2.5L	non-Turbo	CVT	FED  CAL
---	98401SJ012to013-1	98401SJ012	---	EA1EDD4A	---	N.AMERICA	Forester	2020	2.5L	non-Turbo	CVT	FED  CAL
---	98401SJ012to013-2	98401SJ012	---	A65F57D4	---	N.AMERICA	Forester	2019	2.5L	non-Turbo	CVT	FED  CAL
---	98401SJ012to013-2	98401SJ012	---	A65F57D4	---	N.AMERICA	Forester	2020	2.5L	non-Turbo	CVT	FED  CAL
---	98401SJ110	98401SJ110	---	8F3B5BD6	---	N.AMERICA	Forester	2022	2.5L	non-Turbo	CVT	FED  CAL
---	98401SJ112	98401SJ111	---	FC993FCE	---	N.AMERICA	Forester	2022	2.5L	non-Turbo	CVT	FED  CAL
---	98401SJ112	98401SJ111	---	FC993FCE	---	N.AMERICA	Forester	2023	2.5L	non-Turbo	CVT	FED  CAL
---	26400VC011	26400VC010	---	99F80C9B	---	N.AMERICA	WRX	2022	2.4L	Turbo	CVT	-
---	26400VC011	26400VC010	---	99F80C9B	---	N.AMERICA	WRX	2023	2.4L	Turbo	CVT	-
LG7D900B00G	22765AM977	22765AM970	LG7D100B00G	954775AC	FF23 D4FE	N.AMERICA	Legacy	2020	2.4L	Turbo	CVT	FED  CAL
LG7D900B00G	22765AM977	22765AM970	LG7D200B00G	954775AC	FF23 D4FE	N.AMERICA	Legacy	2020	2.4L	Turbo	CVT	FED  CAL
LG7D900B00G	22765AM977	22765AM970	LG7D201B00G	954775AC	FF23 D4FE	N.AMERICA	Legacy	2020	2.4L	Turbo	CVT	FED  CAL
LG7D900B00G	22765AM977	22765AM970	LG7D310B00G	954775AC	FF23 D4FE	N.AMERICA	Legacy	2020	2.4L	Turbo	CVT	FED  CAL
LG7D900B00G	22765AM977	22765AM970	LG7D20ZB00G	954775AC	FF23 D4FE	N.AMERICA	Legacy	2020	2.4L	Turbo	CVT	FED  CAL
LG7D900B00G	22765AM977	22765AM971	LG7D320B00G	954775AC	FF23 D4FE	N.AMERICA	Legacy	2020	2.4L	Turbo	CVT	FED  CAL
LG7D900B00G	22765AM977	22765AM972	LG7D420B00G	954775AC	FF23 D4FE	N.AMERICA	Legacy	2020	2.4L	Turbo	CVT	FED  CAL
LG7D900B00G	22765AM977	22765AM972	LG7D430B00G	954775AC	FF23 D4FE	N.AMERICA	Legacy	2020	2.4L	Turbo	CVT	FED  CAL
LG7D900B00G	22765AM977	22765AM973	LG7D500B00G	954775AC	FF23 D4FE	N.AMERICA	Legacy	2020	2.4L	Turbo	CVT	FED  CAL
LG7D900B00G	22765AM977	22765AM974	LG7D501B00G	954775AC	FF23 D4FE	N.AMERICA	Legacy	2020	2.4L	Turbo	CVT	FED  CAL
LG7D900B00G	22765AM977	22765AM975	LG7D700B00G	954775AC	FF23 D4FE	N.AMERICA	Legacy	2020	2.4L	Turbo	CVT	FED  CAL
LG7D900B00G	22765AM977	22765AM976	LG7D800B00G	954775AC	FF23 D4FE	N.AMERICA	Legacy	2020	2.4L	Turbo	CVT	FED  CAL
LG7D900B00G	22765AM977	22765AM970	LG7D100B00G	954775AC	FF23 D4FE	N.AMERICA	Outback	2020	2.4L	Turbo	CVT	FED  CAL
LG7D900B00G	22765AM977	22765AM970	LG7D200B00G	954775AC	FF23 D4FE	N.AMERICA	Outback	2020	2.4L	Turbo	CVT	FED  CAL
LG7D900B00G	22765AM977	22765AM970	LG7D201B00G	954775AC	FF23 D4FE	N.AMERICA	Outback	2020	2.4L	Turbo	CVT	FED  CAL
